#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Fusarium graminearum PH-1","Eukaryota;Fungi;Ascomycetes","PH-1; NRRL 31084","SAMN02953593","PRJNA13839","GCA_000240135.3"," Chromosome",36.458,48.3278,"chromosome 1:NC_026474.1/CM000574.1; chromosome 2:NC_026475.1/CM000575.1; chromosome 3:NC_026476.1/CM000576.1; chromosome 4:NC_026477.1/CM000577.1","AACM02",31,13313,"2003-05-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/135/GCA_000240135.3_ASM24013v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/135/GCF_000240135.3_ASM24013v3"
"Verticillium alfalfae VaMs.102","Eukaryota;Fungi;Ascomycetes","VaMs.102","SAMN02953725","PRJNA29511","GCA_000150825.1","Scaffold",32.863,55.4,,"ABPE01",27,10237,"2008-06-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/825/GCA_000150825.1_ASM15082v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/150/825/GCF_000150825.1_ASM15082v1"
"Austropuccinia psidii","Eukaryota;Fungi;Basidiomycetes","","SAMEA6153110","PRJEB34084","GCA_902702905.1","Scaffold",1018.4,33.8,,"CACRXL01",66,0,"2019-11-28T23:28:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/702/905/GCA_902702905.1_Austropuccinia_psidii",
"Pseudocercospora pini-densiflorae CBS 125139","Eukaryota;Fungi;Ascomycetes","CBS 125139","SAMN02254956","PRJNA212512","GCA_000504365.2","Scaffold",43.5134,49.1,,"AWYD02",3263,0,"2013-12-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/504/365/GCA_000504365.2_ASM50436v2",
"Pseudocercospora fijiensis CIRAD86","Eukaryota;Fungi;Ascomycetes","CIRAD86","SAMN02744058","PRJNA19049","GCA_000340215.1","Scaffold",74.1412,45.2,,"AIHZ01",56,13066,"2013-02-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/340/215/GCA_000340215.1_Mycfi2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/340/215/GCF_000340215.1_Mycfi2"
"Exutisphaerella laricina CBS 326.52","Eukaryota;Fungi;Ascomycetes","CBS 326.52","SAMN02254957","PRJNA212505","GCA_000504385.2","Scaffold",26.5207,52.5,,"AWYE02",617,0,"2013-12-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/504/385/GCA_000504385.2_ASM50438v2",
"Clarireedia homoeocarpa","Eukaryota;Fungi;Ascomycetes","HRI11","SAMN04267405","PRJNA302176","GCA_001465935.1","Scaffold",43.3591,43.8,,"LNKV01",257,0,"2015-12-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/465/935/GCA_001465935.1_ASM146593v1",
"Pyrrhoderma noxium","Eukaryota;Fungi;Basidiomycetes","FFPRI411160","SAMN06480491","PRJNA377805","GCA_002287475.2"," Chromosome",31.608,41.5895,"chromosome 1:CM008251.1; chromosome 2:CM008252.1; chromosome 3:CM008253.1; chromosome 4:CM008254.1; chromosome 5:CM008255.1; chromosome 6:CM008256.1; chromosome 7:CM008257.1; chromosome 8:CM008258.1; chromosome 9:CM008259.1; chromosome 10:CM008260.1; chromosome 11:CM008261.1; chromosome 12:CM008262.1; mitochondrion MT:CM008263.2","NBII01",13,19860,"2017-09-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/287/475/GCA_002287475.2_ASM228747v2",
"Pyrrhoderma noxium OVT-YTM/97","Eukaryota;Fungi;Basidiomycetes","OVT-YTM/97","SAMN02393366","PRJNA226629","GCA_000507345.1","Contig",31.2593,41.6,,"AYOR01",1434,0,"2013-12-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/507/345/GCA_000507345.1_OVT-YTM_97_Newbler_2.8",
"Clarireedia homoeocarpa","Eukaryota;Fungi;Ascomycetes","HRS10","SAMN04267404","PRJNA302176","GCA_001465945.1","Scaffold",42.2663,43.4,,"LNGN01",231,0,"2015-12-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/465/945/GCA_001465945.1_ASM146594v1",
"Austropuccinia psidii","Eukaryota;Fungi;Basidiomycetes","Apsidii_AM","SAMN09635590","PRJNA480390","GCA_003724095.1","Scaffold",1204.13,30.1,,"QOUH01",147937,0,"2018-11-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/724/095/GCA_003724095.1_ASM372409v1",
"Verticillium alfalfae","Eukaryota;Fungi;Ascomycetes","PD683","SAMN07297517","PRJNA392396","GCA_002851655.1","Scaffold",32.6412,55.4,,"NMXH01",14,0,"2018-01-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/851/655/GCA_002851655.1_ASM285165v1",
"Colletotrichum gloeosporioides","Eukaryota;Fungi;Ascomycetes","TYU","SAMN07411592","PRJNA395616","GCA_002901105.1","Contig",53.0087,49.6,,"NOWE01",63,0,"2018-01-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/901/105/GCA_002901105.1_ASM290110v1",
"Colletotrichum fioriniae","Eukaryota;Fungi;Ascomycetes","HC91","SAMN08289092","PRJNA270309","GCA_002930425.1","Scaffold",49.7925,51.5,,"PNFI01",970,0,"2018-02-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/930/425/GCA_002930425.1_ASM293042v1",
"Heterobasidion irregulare","Eukaryota;Fungi;Basidiomycetes","","SAMEA3323520","PRJEB8921","GCA_001457935.1","Scaffold",26.3748,52.5,,"CVKW01",14,0,"2015-11-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/457/935/GCA_001457935.1_9OA",
"Penicillium digitatum PHI26","Eukaryota;Fungi;Ascomycetes","PHI26","SAMN02399970","PRJNA157541","GCA_000315665.1","Scaffold",25.9851,48.8737,"mitochondrion MT:CM001645.1","AKCT01",101,9133,"2012-11-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/315/665/GCA_000315665.1_PdigPHI26_v1",
"Heterobasidion annosum 03012","Eukaryota;Fungi;Basidiomycetes","03012","SAMN02730188","PRJNA182499","GCA_000633895.1","Contig",31.0092,51.5,,"AOSL01",2415,0,"2014-04-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/633/895/GCA_000633895.1_Ha2.0",
"Macrophomina phaseolina","Eukaryota;Fungi;Ascomycetes","Al-1","SAMN08448485","PRJNA432410","GCA_008729065.1","Contig",49.8081,52.2,,"PQSW01",18,0,"2019-09-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/729/065/GCA_008729065.1_ASM872906v1",
"Alternaria arborescens EGS 39-128","Eukaryota;Fungi;Ascomycetes","EGS 39-128","SAMN02981405","PRJNA78243","GCA_000256225.1","Contig",33.8894,50.9,,"AIIC01",820,0,"2012-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/256/225/GCA_000256225.1_A_arborescens_1.0",
"Dothistroma septosporum","Eukaryota;Fungi;Ascomycetes","NZFS4520","SAMN06689752","PRJNA381823","GCA_002236755.2","Scaffold",30.2328,52.8,,"NBZP02",65,0,"2017-07-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/236/755/GCA_002236755.2_NZE2.long",
"Rhizoctonia solani 123E","Eukaryota;Fungi;Basidiomycetes","123E","SAMN02802209","PRJNA227561","GCA_000715385.1","Contig",39.4189,48.8,,"AZST01",2684,10993,"2014-06-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/715/385/GCA_000715385.1_Rhizoctonia_solani_123E_v1",
"Leptosphaeria maculans 'brassicae' group","Eukaryota;Fungi;Ascomycetes","","SAMEA104483102","PRJEB24469","GCA_900465115.1","Contig",43.4266,45.7,,"UBIQ01",288,0,"2018-06-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/465/115/GCA_900465115.1_NZT4_Genome_assembly",
"Penicillium expansum","Eukaryota;Fungi;Ascomycetes","R19","SAMN10256288","PRJNA497398","GCA_004302965.1","Contig",32.8965,47.3,,"REGB01",16,0,"2019-02-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/302/965/GCA_004302965.1_Pexp_R19",
"Colletotrichum higginsianum","Eukaryota;Fungi;Ascomycetes","MAFF305635-RFP","SAMN06008763","PRJNA352900","GCA_004920355.1","Contig",49.7865,54.6,,"MWPZ01",28,12915,"2019-04-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/920/355/GCA_004920355.1_ASM492035v1",
"Fusarium circinatum","Eukaryota;Fungi;Ascomycetes","GL1327","SAMN02950949","PRJNA257130","GCA_000876485.1","Scaffold",42.5405,48.4,,"JRVE01",909,0,"2015-02-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/876/485/GCA_000876485.1_ASM87648v1",
"Sporisorium reilianum SRZ2","Eukaryota;Fungi;Basidiomycetes","","SAMEA3138400","PRJNA64587","GCA_000230245.1"," Chromosome",18.4769,59.5059,"chromosome 1:FQ311430.1; chromosome 2:FQ311441.1; chromosome 3:FQ311452.1; chromosome 4:FQ311463.1; chromosome 5:FQ311470.1; chromosome 6:FQ311471.1; chromosome 7:FQ311472.1; chromosome 8:FQ311473.1; chromosome 9:FQ311474.1; chromosome 10:FQ311431.1; chromosome 11:FQ311432.1; chromosome 12:FQ311433.1; chromosome 13:FQ311434.1; chromosome 14:FQ311435.1; chromosome 15:FQ311436.1; chromosome 16:FQ311437.1; chromosome 17:FQ311438.1; chromosome 18:FQ311439.1; chromosome 19:FQ311440.1; chromosome 20:FQ311442.1; chromosome 21:FQ311443.1; chromosome 22:FQ311444.1; chromosome 23:FQ311445.1; mitochondrion MT:FQ311469.1",,45,6673,"2010-12-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/245/GCA_000230245.1_ASM23024v1",
"Moniliophthora roreri MCA 2997","Eukaryota;Fungi;Basidiomycetes","MCA 2997","SAMN02981561","PRJNA213737","GCA_000488995.1","Contig",52.2049,46.9,,"AWSO01",3280,17910,"2013-10-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/488/995/GCA_000488995.1_M_roreri_MCA_2997_v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/488/995/GCF_000488995.1_M_roreri_MCA_2997_v1"
"Epichloe typhina E5819","Eukaryota;Fungi;Ascomycetes","E5819","SAMN02981349","PRJNA68441","GCA_000222955.2","Contig",34.1858,42.9,,"AFSE01",2556,0,"2011-08-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/222/955/GCA_000222955.2_AciTa_1.0",
"Erysiphe pisi","Eukaryota;Fungi;Ascomycetes","","SAMEA2272248","PRJEA50315","GCA_000214055.1","Contig",41.4482,38.8,,"CACN01",26142,0,"2011-02-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/055/GCA_000214055.1_ASM21405v1",
"Bipolaris maydis C5","Eukaryota;Fungi;Ascomycetes","C5","SAMN00006316","PRJNA42739","GCA_000338975.1","Scaffold",36.4567,49.8,,"AIDY01",68,13316,"2013-02-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/338/975/GCA_000338975.1_CocheC5_3",
"Microbotryum violaceum","Eukaryota;Fungi;Basidiomycetes","1296","SAMEA3706520","PRJEB12080","GCA_900015965.1","Contig",31.8273,56.3,,"FBSB01",147,0,"2016-12-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/015/965/GCA_900015965.1_MvSco-1296-1D-A1-R1",
"Colletotrichum graminicola","Eukaryota;Fungi;Ascomycetes","M5.001","SAMN06043298","PRJNA354205","GCA_001951205.1","Contig",59.9141,0,,"MRBI01",8455,0,"2017-01-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/951/205/GCA_001951205.1_ASM195120v1",
"Puccinia triticina Race 77","Eukaryota;Fungi;Basidiomycetes","Race 77","SAMN02444500","PRJNA231547","GCA_001707215.1","Contig",99.5919,0,,"AZRO01",37447,0,"2016-08-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/707/215/GCA_001707215.1_PucTri771.0",
"Alternaria brassicicola ATCC 96836","Eukaryota;Fungi;Ascomycetes","ATCC 96836","SAMN02953751","PRJNA34523","GCA_000174375.1","Contig",29.5365,50.7,,"ACIW01",3280,0,"2009-03-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/375/GCA_000174375.1_ASM17437v1",
"Blumeria graminis f. sp. hordei","Eukaryota;Fungi;Ascomycetes","RACE1","SAMEA104357859","PRJEB23162","GCA_900237765.1","Contig",116.476,43.7,,"UNSH01",99,5317,"2018-09-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/237/765/GCA_900237765.1_BghRACE1_v1",
"Fusarium oxysporum f. sp. radicis-cucumerinum","Eukaryota;Fungi;Ascomycetes","Forc016","SAMN04348764","PRJNA306247","GCA_001702695.2"," Chromosome",52.9083,47.678,"chromosome 1:CM008287.1; chromosome 2:CM008288.1; chromosome 4:CM008289.1; chromosome 5:CM008290.1; chromosome 7:CM008291.1; chromosome 8:CM008292.1; chromosome 9:CM008293.1; chromosome 10:CM008294.1; chromosome 11:CM008295.1; chromosome 12:CM008296.1; chromosome 13:CM008297.1; chromosome RC:CM008298.1; mitochondrion MT:CM008299.1","MABQ02",33,17168,"2016-08-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/702/695/GCA_001702695.2_ASM170269v2",
"Pyrenophora tritici-repentis","Eukaryota;Fungi;Ascomycetes","V0001","SAMN10461900","PRJNA315205","GCA_008692205.1","Contig",40.4081,50.7,,"SAXQ01",33,14050,"2019-09-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/692/205/GCA_008692205.1_Ptr_V0001",
"Botrytis cinerea T4","Eukaryota;Fungi;Ascomycetes","T4","SAMN02981443","PRJNA162725","GCA_000292645.1","Scaffold",41.6129,42.5,,"ALOC01",56,0,"2012-08-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/292/645/GCA_000292645.1_ASM29264v1",
"Fusarium verticillioides","Eukaryota;Fungi;Ascomycetes","BRIP53590","SAMN08667354","PRJNA437508","GCA_003316995.2"," Chromosome",42.2944,48.2594,"chromosome 1:CM010978.1; chromosome 2:CM010979.1; chromosome 3:CM010980.1; chromosome 4:CM010981.1; chromosome 5:CM010982.1; chromosome 6:CM010983.1; chromosome 7:CM010984.1; chromosome 8:CM010985.1; chromosome 9:CM010986.1; chromosome 10:CM010987.1; chromosome 11:CM010988.1","QKXB01",258,307,"2018-07-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/995/GCA_003316995.2_ASM331699v2",
"Sclerotinia sclerotiorum 1980 UF-70","Eukaryota;Fungi;Ascomycetes","1980","SAMN05908049","PRJNA348385","GCA_001857865.1"," Chromosome",38.9066,41.5495,"chromosome 1:CP017814.1; chromosome 2:CP017815.1; chromosome 3:CP017816.1; chromosome 4:CP017817.1; chromosome 5:CP017818.1; chromosome 6:CP017819.1; chromosome 7:CP017820.1; chromosome 8:CP017821.1; chromosome 9:CP017822.1; chromosome 10:CP017823.1; chromosome 11:CP017824.1; chromosome 12:CP017825.1; chromosome 13:CP017826.1; chromosome 14:CP017827.1; chromosome 15:CP017828.1; chromosome 16:CP017829.1",,16,11130,"2016-10-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/857/865/GCA_001857865.1_ASM185786v1",
"Parastagonospora nodorum","Eukaryota;Fungi;Ascomycetes","Sn79-1087","SAMN07500996","PRJNA398070","GCA_002267025.1","Complete",34.7819,51.4335,"chromosome 1:CP022852.1; chromosome 2:CP022853.1; chromosome 3:CP022855.1; chromosome 4:CP022854.1; chromosome 5:CP022856.1; chromosome 6:CP022858.1; chromosome 7:CP022857.1; chromosome 8:CP022860.1; chromosome 9:CP022859.1; chromosome 10:CP022869.1; chromosome 11:CP022861.1; chromosome 12:CP022863.1; chromosome 13:CP022862.1; chromosome 14:CP022865.1; chromosome 15:CP022864.1; chromosome 16:CP022868.1; chromosome 17:CP022866.1; chromosome 18:CP022870.1; chromosome 19:CP022873.1; chromosome 20:CP022872.1; chromosome 21:CP022871.1; chromosome 22:CP022867.1",,22,0,"2017-08-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/267/025/GCA_002267025.1_ASM226702v1",
"Zymoseptoria tritici ST99CH_3D1","Eukaryota;Fungi;Ascomycetes","","SAMEA104083539","PRJEB20899","GCA_900184105.1"," Chromosome",40.6575,52.0152,"chromosome ZT3D1_chr_1:LT854273.1; chromosome ZT3D1_chr_10:LT854282.1; chromosome ZT3D1_chr_11:LT854283.1; chromosome ZT3D1_chr_12:LT854284.1; chromosome ZT3D1_chr_13:LT854285.1; chromosome ZT3D1_chr_14:LT854286.1; chromosome ZT3D1_chr_15:LT854287.1; chromosome ZT3D1_chr_16:LT854288.1; chromosome ZT3D1_chr_17:LT854289.1; chromosome ZT3D1_chr_18:LT854290.1; chromosome ZT3D1_chr_19:LT854291.1; chromosome ZT3D1_chr_2:LT854274.1; chromosome ZT3D1_chr_20:LT854292.1; chromosome ZT3D1_chr_21:LT854293.1; chromosome ZT3D1_chr_3:LT854275.1; chromosome ZT3D1_chr_4:LT854276.1; chromosome ZT3D1_chr_5:LT854277.1; chromosome ZT3D1_chr_6:LT854278.1; chromosome ZT3D1_chr_7:LT854279.1; chromosome ZT3D1_chr_8:LT854280.1; chromosome ZT3D1_chr_9:LT854281.1",,21,11991,"2017-10-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/184/105/GCA_900184105.1_ST99CH_3D1",
"Eremothecium gossypii FDAG1","Eukaryota;Fungi;Ascomycetes","FDAG1","","PRJNA39549","GCA_000968835.1","Complete",9.15715,51.678,"chromosome I:CP002705.1; chromosome II:CP002706.1; chromosome III:CP002707.1; chromosome IV:CP002708.1; chromosome V:CP002709.1; chromosome VI:CP002710.1; chromosome VII:CP002711.1; mitochondrion MT:CP002712.1",,8,4774,"2012-01-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/968/835/GCA_000968835.1_ASM96883v1",
"Ustilago maydis","Eukaryota;Fungi;Basidiomycetes","JCM 2005","SAMD00028356","PRJDB3636","GCA_001599495.1","Scaffold",19.6069,53.8,,"BCHA01",56,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/495/GCA_001599495.1_JCM_2005_assembly_v001",
"Pyricularia oryzae","Eukaryota;Fungi;Ascomycetes","MZ5-1-6","SAMN10491321","PRJNA507314","GCA_004346965.1","Complete",42.7033,50.0762,"chromosome 1:CP034204.1; chromosome 2:CP034205.1; chromosome 3:CP034206.1; chromosome 4:CP034207.1; chromosome 5:CP034208.1; chromosome 6:CP034209.1; chromosome 7:CP034210.1",,7,13521,"2019-03-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/346/965/GCA_004346965.1_ASM434696v1",
"Fusarium graminearum","Eukaryota;Fungi;Ascomycetes","PH-1","SAMEA3283145","PRJEB5475","GCA_900044135.1"," Chromosome",38.0479,48.1531,"chromosome 1:HG970332.2; chromosome 2:HG970333.1; chromosome 3:HG970334.1; chromosome 4:HG970335.2; mitochondrion MT:HG970331.1",,6,14143,"2014-10-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/044/135/GCA_900044135.1_GZPH1RResV1",
"Fusarium graminearum","Eukaryota;Fungi;Ascomycetes","CS3005","SAMN02585717","PRJNA235346","GCA_000599445.1"," Chromosome",36.6676,48.0236,"chromosome 1:CM002651.1; chromosome 2:CM002652.1; chromosome 3:CM002653.1; chromosome 4:CM002654.1","JATU01",199,13355,"2014-03-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/599/445/GCA_000599445.1_CS3005v1",
"Pyricularia oryzae","Eukaryota;Fungi;Ascomycetes","B71","SAMN06076154","PRJNA355407","GCA_004785725.1"," Chromosome",44.5168,49.8648,"chromosome 1:CM015700.1; chromosome 2:CM015701.1; chromosome 3:CM015702.1; chromosome 4:CM015703.1; chromosome 5:CM015704.1; chromosome 6:CM015705.1; chromosome 7:CM015706.1; mitochondrion MT:CM015711.1","MQUD01",13,0,"2019-04-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/785/725/GCA_004785725.1_B71Ref1",
"Ustilago maydis","Eukaryota;Fungi;Basidiomycetes","ATCC 22904","SAMN05200844","PRJNA324353","GCA_001736215.1","Contig",20.133,53.9,,"LZQT01",2695,0,"2016-09-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/736/215/GCA_001736215.1_ASM173621v1",
"Zymoseptoria tritici ST99CH_3D7","Eukaryota;Fungi;Ascomycetes","","SAMEA4040171","PRJEB14341","GCA_900091695.1"," Chromosome",37.8614,52.2247,"chromosome 1:LT853692.1; chromosome 2:LT853693.1; chromosome 3:LT853694.1; chromosome 4:LT853695.1; chromosome 5:LT853696.1; chromosome 6:LT853697.1; chromosome 7:LT853698.1; chromosome 8:LT853699.1; chromosome 9:LT853700.1; chromosome 10:LT853701.1; chromosome 11:LT853702.1; chromosome 12:LT853703.1; chromosome 13:LT853704.1; chromosome 16:LT853705.1; chromosome 17:LT853706.1; chromosome 19:LT853707.1; chromosome 20:LT853708.1",,17,11726,"2017-05-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/091/695/GCA_900091695.1_Zt_ST99CH_3D7",
"Parastagonospora nodorum","Eukaryota;Fungi;Ascomycetes","Sn2000","SAMN07500993","PRJNA398070","GCA_002267045.1"," Chromosome",37.1542,50.0911,"chromosome 1:CP022829.1; chromosome 2:CP022830.1; chromosome 3:CP022831.1; chromosome 4:CP022832.1; chromosome 5:CP022833.1; chromosome 6:CP022836.1; chromosome 7:CP022835.1; chromosome 8:CP022834.1; chromosome 9:CP022837.1; chromosome 10:CP022838.1; chromosome 11:CP022840.1; chromosome 12:CP022842.1; chromosome 13:CP022839.1; chromosome 14:CP022841.1; chromosome 15:CP022851.1; chromosome 16:CP022844.1; chromosome 17:CP022846.1; chromosome 18:CP022843.1; chromosome 19:CP022849.1; chromosome 20:CP022847.1; chromosome 21:CP022848.1; chromosome 22:CP022845.1; chromosome 23:CP022850.1",,23,0,"2017-08-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/267/045/GCA_002267045.1_ASM226704v1",
"Fusarium verticillioides","Eukaryota;Fungi;Ascomycetes","BRIP53263","SAMN08667353","PRJNA437508","GCA_003317015.2"," Chromosome",42.3988,48.3545,"chromosome 1:CM010989.1; chromosome 2:CM010990.1; chromosome 3:CM010991.1; chromosome 4:CM010992.1; chromosome 5:CM010993.1; chromosome 6:CM010994.1; chromosome 7:CM010995.1; chromosome 8:CM010996.1; chromosome 9:CM010997.1; chromosome 10:CM010998.1; chromosome 11:CM010999.1","QJUS01",153,458,"2018-07-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/317/015/GCA_003317015.2_ASM331701v2",
"Botrytis cinerea BcDW1","Eukaryota;Fungi;Ascomycetes","BcDW1","SAMN01910430","PRJNA188482","GCA_000349525.1","Scaffold",42.1323,42,,"AORW01",454,11028,"2013-03-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/349/525/GCA_000349525.1_BcDW1",
"Pyrenophora tritici-repentis","Eukaryota;Fungi;Ascomycetes","M4","SAMN07420926","PRJNA315205","GCA_003171515.1","Contig",40.9266,50.7,,"NQIK01",50,13795,"2018-05-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/171/515/GCA_003171515.1_ASM317151v1",
"Fusarium oxysporum f. sp. lycopersici","Eukaryota;Fungi;Ascomycetes","race 3","SAMN10080742","PRJNA491600","GCA_003977725.1"," Chromosome",57.282,47.8429,"chromosome 1:CM012187.1; chromosome 2:CM012188.1; chromosome 4:CM012189.1; chromosome 5:CM012190.1; chromosome 7:CM012191.1; chromosome 8:CM012192.1; chromosome 9:CM012193.1; chromosome 10:CM012194.1; chromosome 11:CM012195.1; chromosome 14:CM012196.1; mitochondrion MT:CM012197.1","RBXW01",39,0,"2018-12-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/977/725/GCA_003977725.1_FolCA3_D11_v1",
"Blumeria graminis f. sp. hordei DH14","Eukaryota;Fungi;Ascomycetes","DH14","SAMEA3138301","PRJNA28821","GCA_000151065.3","Scaffold",118.726,45.4,,"CAUH01",6843,6495,"2013-04-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/065/GCA_000151065.3_ASM15106v3",
"Puccinia triticina Race 77","Eukaryota;Fungi;Basidiomycetes","Race 77","SAMN03384293","PRJNA277090","GCA_001707095.1","Contig",95.1276,46.7,,"LADB01",49880,0,"2016-08-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/707/095/GCA_001707095.1_ASM170709v1",
"Microbotryum violaceum","Eukaryota;Fungi;Basidiomycetes","1249","SAMEA3706523","PRJEB12080","GCA_900015455.1","Contig",27.8765,55.6,,"FBRJ01",61,0,"2016-12-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/015/455/GCA_900015455.1_MvSn-1249-A2-R1",
"Fusarium circinatum","Eukaryota;Fungi;Ascomycetes","KS17","SAMN02870901","PRJNA305560","GCA_002894005.1","Scaffold",46.325,44.7,,"LQBB01",6033,0,"2018-01-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/894/005/GCA_002894005.1_ASM289400v1",
"Colletotrichum higginsianum","Eukaryota;Fungi;Ascomycetes","IMI 349063","SAMEA3138427","PRJNA47061","GCA_000313795.2","Scaffold",49.0849,55.1,,"CACQ02",10235,16141,"2011-02-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/795/GCA_000313795.2_ASM31379v2",
"Penicillium expansum T01","Eukaryota;Fungi;Ascomycetes","T01","SAMN02385220","PRJNA222879","GCA_001008385.1","Contig",33.0326,47.2,,"AYHP01",527,0,"2015-05-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/008/385/GCA_001008385.1_ASM100838v1",
